Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
36,96000,12000,8,273.406007
36,96000,9600,10,177.869524
37,96000,48000,2,40.935113
37,96000,24000,4,1303.347674
37,96000,16000,6,544.253252
37,96000,12000,8,239.078185
37,96000,9600,10,149.299651
38,96000,48000,2,38.271761
38,96000,24000,4,367.864171
38,96000,16000,6,126.841882
38,96000,12000,8,521.956786
38,96000,9600,10,257.173339
39,96000,48000,2,57.376968
39,96000,24000,4,101.19269
39,96000,16000,6,1506.046253
39,96000,12000,8,193.724179
39,96000,9600,10,269.600513
40,96000,48000,2,36.039024
40,96000,24000,4,35.919569
40,96000,16000,6,335.115951
40,96000,12000,8,242.469667
40,96000,9600,10,254.729483
41,96000,48000,2,37.5364
41,96000,24000,4,66.945613
41,96000,16000,6,1321.834133
41,96000,12000,8,267.903566
41,96000,9600,10,345.16117
42,96000,48000,2,55.983225
42,96000,24000,4,12.613373
42,96000,16000,6,235.331154
42,96000,12000,8,233.540611
42,96000,9600,10,288.631192
43,96000,48000,2,28.67707
43,96000,24000,4,58.137185
43,96000,16000,6,816.971215
43,96000,12000,8,93.198239
43,96000,9600,10,240.931407
44,96000,48000,2,37.855579
44,96000,24000,4,29.686176
44,96000,16000,6,172.98595
44,96000,12000,8,198.98347
44,96000,9600,10,276.88069
45,96000,48000,2,75.451539
45,96000,24000,4,12.994971
45,96000,16000,6,201.654714
45,96000,12000,8,645.845608
45,96000,9600,10,340.55817
46,96000,48000,2,45.93069
46,96000,24000,4,350.219096
46,96000,16000,6,275.392245
46,96000,12000,8,203.5506
46,96000,9600,10,292.064621
47,96000,48000,2,40.824485
47,96000,24000,4,121.51047
47,96000,16000,6,271.803058
47,96000,12000,8,999.991222
47,96000,9600,10,391.31359
48,96000,48000,2,40.713465
48,96000,24000,4,975.329732
48,96000,16000,6,203.230024
48,96000,12000,8,554.279771
48,96000,9600,10,331.935058
49,96000,48000,2,34.791133
49,96000,24000,4,56.113488
49,96000,16000,6,193.072038
49,96000,12000,8,217.014947
49,96000,9600,10,384.549072
