Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
46,10000,2,4.151914
46,10000,4,46.509665
46,10000,6,450.725784
46,10000,8,290.196671
46,10000,10,195.085301
47,10000,2,7.371341
47,10000,4,10.565183
47,10000,6,646.300259
47,10000,8,203.512696
47,10000,10,317.044396
48,10000,2,6.629268
48,10000,4,33.410459
48,10000,6,25.326417
48,10000,8,21.060453
48,10000,10,374.177438
49,10000,2,6.377286
49,10000,4,5.636684
49,10000,6,197.983318
49,10000,8,248.990971
49,10000,10,323.169106
