Iteracion,numAdders,numRemovers,Time (ms)
25,10000,2,8,248.013652
25,10000,3,7,375.117129
25,10000,4,6,571.023459
25,10000,5,5,576.421643
25,10000,6,4,401.641668
25,10000,7,3,8.965527
25,10000,8,2,598.062789
25,10000,9,1,444.21062
26,10000,1,9,71.845848
26,10000,2,8,330.695136
26,10000,3,7,341.896345
26,10000,4,6,604.420097
26,10000,5,5,561.691925
26,10000,6,4,523.333028
26,10000,7,3,7.876673
26,10000,8,2,131.959285
26,10000,9,1,463.811499
27,10000,1,9,19.477623
27,10000,2,8,421.601374
27,10000,3,7,373.879985
27,10000,4,6,556.791806
27,10000,5,5,574.052001
27,10000,6,4,28.702574
27,10000,7,3,410.289118
27,10000,8,2,579.531148
27,10000,9,1,6.129171
28,10000,1,9,68.49396
28,10000,2,8,354.049232
28,10000,3,7,313.25079
28,10000,4,6,570.892476
28,10000,5,5,567.681612
28,10000,6,4,215.244227
28,10000,7,3,554.711707
28,10000,8,2,59.020088
28,10000,9,1,567.392125
29,10000,1,9,11.078161
29,10000,2,8,234.331519
29,10000,3,7,88.684863
29,10000,4,6,550.293221
29,10000,5,5,530.51124
29,10000,6,4,576.067986
29,10000,7,3,552.783777
29,10000,8,2,469.878249
29,10000,9,1,395.933224
30,10000,1,9,173.99426
30,10000,2,8,502.398959
30,10000,3,7,404.922298
30,10000,4,6,450.859688
30,10000,5,5,498.149687
30,10000,6,4,162.084642
30,10000,7,3,262.491328
30,10000,8,2,415.803953
30,10000,9,1,555.918748
31,10000,1,9,22.001581
31,10000,2,8,299.580333
31,10000,3,7,490.959579
31,10000,4,6,362.106086
31,10000,5,5,567.534014
31,10000,6,4,180.778491
31,10000,7,3,496.848914
31,10000,8,2,554.067416
31,10000,9,1,466.181223
32,10000,1,9,297.312386
32,10000,2,8,540.76946
32,10000,3,7,401.333273
32,10000,4,6,425.534089
32,10000,5,5,568.129385
32,10000,6,4,5.548505
32,10000,7,3,536.304043
32,10000,8,2,552.62176
32,10000,9,1,542.164201
33,10000,1,9,26.879718
33,10000,2,8,398.665377
33,10000,3,7,124.058092
33,10000,4,6,569.26013
33,10000,5,5,415.584684
33,10000,6,4,340.676008
33,10000,7,3,149.416826
33,10000,8,2,525.694265
33,10000,9,1,570.022004
34,10000,1,9,54.532201
34,10000,2,8,241.156856
34,10000,3,7,76.807095
34,10000,4,6,567.645897
34,10000,5,5,524.184664
34,10000,6,4,237.646216
34,10000,7,3,5.818504
34,10000,8,2,490.594978
34,10000,9,1,271.481468
35,10000,1,9,23.576168
35,10000,2,8,341.748134
35,10000,3,7,396.554383
35,10000,4,6,568.379612
35,10000,5,5,137.776625
