Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
44,10000,8,915.252938
44,10000,10,1938.039029
45,10000,2,694.794445
45,10000,4,735.432966
45,10000,6,844.135438
45,10000,8,1274.700673
45,10000,10,1499.557437
46,10000,2,673.168789
46,10000,4,668.044456
46,10000,6,1022.398816
46,10000,8,1253.156749
46,10000,10,344.515641
47,10000,2,698.899329
47,10000,4,769.194418
47,10000,6,961.803695
47,10000,8,1561.276215
47,10000,10,1069.405892
48,10000,2,741.617584
48,10000,4,829.771953
48,10000,6,855.719604
48,10000,8,1709.020262
48,10000,10,1616.234305
49,10000,2,701.93456
49,10000,4,449.088142
49,10000,6,1003.350655
49,10000,8,1322.03866
49,10000,10,1556.227584
