Iteracion,numAdders,numRemovers,Time (ms)
25,10000,2,8,570.938133
25,10000,3,7,258.902169
25,10000,4,6,394.073065
25,10000,5,5,230.583546
25,10000,6,4,255.948476
25,10000,7,3,205.76691
25,10000,8,2,69.784466
25,10000,9,1,20.184325
26,10000,1,9,274.586968
26,10000,2,8,502.232726
26,10000,3,7,260.525721
26,10000,4,6,245.959991
26,10000,5,5,194.859855
26,10000,6,4,118.766699
26,10000,7,3,165.823451
26,10000,8,2,43.897218
26,10000,9,1,132.430803
27,10000,1,9,295.7774
27,10000,2,8,226.967559
27,10000,3,7,284.943255
27,10000,4,6,35.71431
27,10000,5,5,105.950165
27,10000,6,4,172.610372
27,10000,7,3,100.552337
27,10000,8,2,47.202593
27,10000,9,1,379.780956
28,10000,1,9,183.500338
28,10000,2,8,834.127362
28,10000,3,7,429.264823
28,10000,4,6,250.001664
28,10000,5,5,278.666416
28,10000,6,4,190.323206
28,10000,7,3,126.607264
28,10000,8,2,31.777864
28,10000,9,1,20.442468
29,10000,1,9,246.829416
29,10000,2,8,188.891161
29,10000,3,7,149.830036
29,10000,4,6,372.807952
29,10000,5,5,264.669536
29,10000,6,4,78.982151
29,10000,7,3,60.878149
29,10000,8,2,50.38057
29,10000,9,1,23.341214
30,10000,1,9,274.654112
30,10000,2,8,386.387408
30,10000,3,7,372.998771
30,10000,4,6,283.463224
30,10000,5,5,197.129301
30,10000,6,4,203.244833
30,10000,7,3,59.951028
30,10000,8,2,29.37368
30,10000,9,1,81.223863
31,10000,1,9,335.862623
31,10000,2,8,413.455166
31,10000,3,7,251.840878
31,10000,4,6,244.088433
31,10000,5,5,246.746892
31,10000,6,4,293.403033
31,10000,7,3,202.126126
31,10000,8,2,25.625434
31,10000,9,1,167.707536
32,10000,1,9,336.850461
32,10000,2,8,189.586606
32,10000,3,7,332.539845
32,10000,4,6,326.090547
32,10000,5,5,184.481334
32,10000,6,4,287.64965
32,10000,7,3,274.168756
32,10000,8,2,30.0953
32,10000,9,1,16.945669
33,10000,1,9,342.288457
33,10000,2,8,448.436151
33,10000,3,7,476.601743
33,10000,4,6,265.127472
33,10000,5,5,206.31722
33,10000,6,4,146.499377
33,10000,7,3,65.314379
33,10000,8,2,9.901293
33,10000,9,1,240.123516
34,10000,1,9,334.423861
34,10000,2,8,210.767757
34,10000,3,7,357.492914
34,10000,4,6,352.291846
34,10000,5,5,227.92597
34,10000,6,4,153.640683
34,10000,7,3,79.304034
34,10000,8,2,8.724507
34,10000,9,1,294.506079
35,10000,1,9,195.319049
35,10000,2,8,437.145698
35,10000,3,7,386.107365
35,10000,4,6,209.888092
35,10000,5,5,122.442716
35,10000,6,4,79.358939
35,10000,7,3,61.540235
35,10000,8,2,9.975317
35,10000,9,1,31.041698
36,10000,1,9,230.76127
36,10000,2,8,290.105087
36,10000,3,7,310.072135
36,10000,4,6,219.128447
36,10000,5,5,224.820655
36,10000,6,4,197.061014
36,10000,7,3,105.305961
36,10000,8,2,9.902133
36,10000,9,1,161.487305
37,10000,1,9,283.998117
37,10000,2,8,401.207623
37,10000,3,7,324.904641
37,10000,4,6,287.931925
37,10000,5,5,203.527417
37,10000,6,4,58.243022
37,10000,7,3,95.094571
37,10000,8,2,19.274088
37,10000,9,1,16.182047
38,10000,1,9,353.227985
38,10000,2,8,297.408137
38,10000,3,7,527.915884
38,10000,4,6,172.183205
38,10000,5,5,210.555944
38,10000,6,4,102.581607
38,10000,7,3,133.99004
38,10000,8,2,19.758861
38,10000,9,1,21.324503
39,10000,1,9,161.711263
39,10000,2,8,306.118892
39,10000,3,7,471.361082
39,10000,4,6,162.352763
39,10000,5,5,250.246863
39,10000,6,4,99.180889
39,10000,7,3,84.592576
39,10000,8,2,30.10972
39,10000,9,1,14.007149
40,10000,1,9,267.456707
40,10000,2,8,294.555032
40,10000,3,7,430.823487
40,10000,4,6,196.623436
40,10000,5,5,230.012143
40,10000,6,4,59.207388
40,10000,7,3,47.521825
40,10000,8,2,10.692686
40,10000,9,1,14.134623
41,10000,1,9,431.476066
41,10000,2,8,299.708939
41,10000,3,7,249.051232
41,10000,4,6,233.619856
41,10000,5,5,120.695332
41,10000,6,4,77.199891
41,10000,7,3,113.98267
41,10000,8,2,49.046043
41,10000,9,1,256.487691
42,10000,1,9,399.891886
42,10000,2,8,594.960989
42,10000,3,7,265.703186
42,10000,4,6,403.825783
42,10000,5,5,176.432183
42,10000,6,4,333.710987
42,10000,7,3,140.588843
42,10000,8,2,10.798516
42,10000,9,1,16.699076
43,10000,1,9,339.536385
43,10000,2,8,323.574209
43,10000,3,7,400.035361
43,10000,4,6,231.483517
43,10000,5,5,187.772414
43,10000,6,4,136.985738
43,10000,7,3,58.897071
43,10000,8,2,43.392927
43,10000,9,1,488.228858
44,10000,1,9,363.759118
44,10000,2,8,289.593738
44,10000,3,7,357.023638
44,10000,4,6,179.090573
44,10000,5,5,170.507443
44,10000,6,4,181.670719
44,10000,7,3,84.484546
44,10000,8,2,25.074737
44,10000,9,1,366.826816
45,10000,1,9,235.95439
45,10000,2,8,654.207596
45,10000,3,7,362.733294
45,10000,4,6,318.366312
45,10000,5,5,168.698196
45,10000,6,4,211.499329
45,10000,7,3,101.010771
45,10000,8,2,13.028079
45,10000,9,1,14.812911
46,10000,1,9,315.177212
46,10000,2,8,386.084576
46,10000,3,7,386.019566
46,10000,4,6,233.162023
46,10000,5,5,132.496296
46,10000,6,4,113.249909
46,10000,7,3,46.307989
46,10000,8,2,147.482584
46,10000,9,1,16.85662
47,10000,1,9,226.909736
47,10000,2,8,80.39919
47,10000,3,7,220.502965
47,10000,4,6,307.389874
47,10000,5,5,205.492932
47,10000,6,4,182.834573
47,10000,7,3,70.277389
47,10000,8,2,45.933268
47,10000,9,1,17.877932
48,10000,1,9,512.608001
48,10000,2,8,307.234406
48,10000,3,7,258.195627
48,10000,4,6,262.53731
48,10000,5,5,166.993026
48,10000,6,4,86.638014
48,10000,7,3,94.406287
48,10000,8,2,9.574576
48,10000,9,1,14.190141
49,10000,1,9,318.806583
49,10000,2,8,477.627846
49,10000,3,7,630.0352
49,10000,4,6,245.545879
49,10000,5,5,139.428388
49,10000,6,4,127.33912
49,10000,7,3,71.916993
49,10000,8,2,38.240262
49,10000,9,1,18.518733
