Iteracion,operacionesPorHilo,numAdders,numRemovers,Time (ms)
21,10000,7,3,900.624033
21,10000,8,2,1033.772144
21,10000,9,1,1147.694339
22,10000,1,9,59.249536
22,10000,2,8,182.246516
22,10000,3,7,331.015436
22,10000,4,6,449.128988
22,10000,5,5,622.163489
22,10000,6,4,752.317877
22,10000,7,3,803.598023
22,10000,8,2,1042.030222
22,10000,9,1,1157.657098
23,10000,1,9,68.666279
23,10000,2,8,169.603253
23,10000,3,7,335.997382
23,10000,4,6,476.731498
23,10000,5,5,582.659523
23,10000,6,4,776.433118
23,10000,7,3,902.816279
23,10000,8,2,855.463288
23,10000,9,1,1148.171714
24,10000,1,9,71.950307
24,10000,2,8,169.923077
24,10000,3,7,328.496413
24,10000,4,6,478.539893
24,10000,5,5,624.608712
24,10000,6,4,710.300692
24,10000,7,3,889.308011
24,10000,8,2,1039.536367
24,10000,9,1,812.336957
25,10000,1,9,66.095042
25,10000,2,8,179.075741
25,10000,3,7,317.780953
25,10000,4,6,484.735859
25,10000,5,5,621.524914
25,10000,6,4,765.175899
25,10000,7,3,933.209519
25,10000,8,2,1037.949898
25,10000,9,1,1150.516626
26,10000,1,9,61.495478
26,10000,2,8,174.794629
26,10000,3,7,331.089843
26,10000,4,6,447.644373
26,10000,5,5,625.484168
26,10000,6,4,769.54523
26,10000,7,3,809.762057
26,10000,8,2,1019.304178
26,10000,9,1,1146.833595
27,10000,1,9,60.908881
27,10000,2,8,178.634946
27,10000,3,7,325.614152
27,10000,4,6,476.224281
27,10000,5,5,572.570108
27,10000,6,4,760.344363
27,10000,7,3,890.582228
27,10000,8,2,823.202943
27,10000,9,1,1164.791489
28,10000,1,9,57.313567
28,10000,2,8,170.553222
28,10000,3,7,329.783666
28,10000,4,6,480.407994
28,10000,5,5,628.235285
28,10000,6,4,723.628746
28,10000,7,3,922.918313
28,10000,8,2,1034.250021
28,10000,9,1,808.849376
29,10000,1,9,59.601669
29,10000,2,8,173.238471
29,10000,3,7,314.153496
29,10000,4,6,478.498036
29,10000,5,5,623.673549
29,10000,6,4,718.846923
29,10000,7,3,911.574501
29,10000,8,2,1036.414342
29,10000,9,1,1171.162581
30,10000,1,9,64.696982
30,10000,2,8,176.353235
30,10000,3,7,334.53465
30,10000,4,6,455.997136
30,10000,5,5,630.651709
30,10000,6,4,769.524537
30,10000,7,3,788.845462
30,10000,8,2,1028.000833
30,10000,9,1,1155.996167
31,10000,1,9,61.922573
31,10000,2,8,174.881442
31,10000,3,7,329.781518
31,10000,4,6,472.244703
31,10000,5,5,585.344833
31,10000,6,4,775.930164
31,10000,7,3,886.707771
31,10000,8,2,836.627274
31,10000,9,1,1154.946433
32,10000,1,9,58.257593
32,10000,2,8,182.649454
32,10000,3,7,325.400562
32,10000,4,6,485.84438
32,10000,5,5,629.268274
32,10000,6,4,742.850862
32,10000,7,3,896.497859
32,10000,8,2,1032.229415
32,10000,9,1,804.844721
33,10000,1,9,61.588855
33,10000,2,8,175.688353
33,10000,3,7,308.744745
33,10000,4,6,481.043952
33,10000,5,5,627.27084
33,10000,6,4,724.013412
33,10000,7,3,914.844401
33,10000,8,2,1024.905417
33,10000,9,1,1157.974204
34,10000,1,9,62.21429
34,10000,2,8,189.480991
34,10000,3,7,325.478599
34,10000,4,6,442.615466
34,10000,5,5,635.056993
34,10000,6,4,775.978679
34,10000,7,3,790.985469
34,10000,8,2,1058.703957
34,10000,9,1,1144.823822
35,10000,1,9,70.458403
35,10000,2,8,173.043484
35,10000,3,7,329.98795
35,10000,4,6,475.359541
35,10000,5,5,578.772185
35,10000,6,4,780.98786
35,10000,7,3,912.891031
35,10000,8,2,816.736349
35,10000,9,1,1163.289723
36,10000,1,9,60.516259
36,10000,2,8,165.95462
36,10000,3,7,331.178936
36,10000,4,6,471.619754
36,10000,5,5,616.666305
36,10000,6,4,750.302517
36,10000,7,3,905.004633
36,10000,8,2,1013.029399
36,10000,9,1,811.0769
37,10000,1,9,58.779883
37,10000,2,8,175.458499
37,10000,3,7,308.280703
37,10000,4,6,477.705167
37,10000,5,5,610.807977
37,10000,6,4,723.024226
37,10000,7,3,892.416427
37,10000,8,2,1041.783349
37,10000,9,1,1156.910617
38,10000,1,9,66.637766
38,10000,2,8,173.202589
38,10000,3,7,332.279981
38,10000,4,6,445.059635
38,10000,5,5,628.614275
38,10000,6,4,771.618694
38,10000,7,3,790.901891
38,10000,8,2,1026.914049
38,10000,9,1,1161.64503
39,10000,1,9,59.170618
39,10000,2,8,171.247807
39,10000,3,7,333.246968
39,10000,4,6,482.70008
39,10000,5,5,583.262705
39,10000,6,4,767.579705
39,10000,7,3,904.815339
39,10000,8,2,851.966999
39,10000,9,1,1154.262615
40,10000,1,9,61.170212
40,10000,2,8,168.535885
40,10000,3,7,330.230823
40,10000,4,6,488.305487
40,10000,5,5,632.590173
40,10000,6,4,697.455229
40,10000,7,3,896.277562
40,10000,8,2,1028.46158
40,10000,9,1,845.379385
41,10000,1,9,61.886165
41,10000,2,8,171.679378
41,10000,3,7,306.591972
41,10000,4,6,476.875235
41,10000,5,5,634.865803
41,10000,6,4,774.034395
41,10000,7,3,890.844577
41,10000,8,2,1041.522525
41,10000,9,1,1179.317226
42,10000,1,9,60.124889
42,10000,2,8,174.881209
42,10000,3,7,331.34118
42,10000,4,6,451.144222
42,10000,5,5,619.938173
42,10000,6,4,769.779996
42,10000,7,3,798.479737
42,10000,8,2,1041.161699
42,10000,9,1,1148.653272
43,10000,1,9,61.415169
43,10000,2,8,170.590493
43,10000,3,7,338.946869
43,10000,4,6,481.690414
43,10000,5,5,577.494036
43,10000,6,4,775.370601
43,10000,7,3,900.682066
43,10000,8,2,857.995606
43,10000,9,1,1146.912385
44,10000,1,9,66.371859
44,10000,2,8,176.40518
44,10000,3,7,335.988449
44,10000,4,6,474.80562
44,10000,5,5,628.580919
44,10000,6,4,716.326266
44,10000,7,3,902.318859
44,10000,8,2,1057.015152
44,10000,9,1,826.870099
45,10000,1,9,61.867526
45,10000,2,8,177.721858
45,10000,3,7,311.480415
45,10000,4,6,486.426159
45,10000,5,5,625.29335
45,10000,6,4,764.627749
45,10000,7,3,892.791204
45,10000,8,2,1041.390349
45,10000,9,1,1145.206533
46,10000,1,9,61.230845
46,10000,2,8,181.985812
46,10000,3,7,329.489556
46,10000,4,6,454.241236
46,10000,5,5,626.907026
46,10000,6,4,758.91581
46,10000,7,3,792.020597
46,10000,8,2,1056.103392
46,10000,9,1,1159.955414
47,10000,1,9,59.072369
47,10000,2,8,171.400243
47,10000,3,7,337.128483
47,10000,4,6,478.325432
47,10000,5,5,571.628191
47,10000,6,4,771.643663
47,10000,7,3,907.054091
47,10000,8,2,872.739044
47,10000,9,1,1152.792938
48,10000,1,9,59.516043
48,10000,2,8,170.522536
48,10000,3,7,325.377964
48,10000,4,6,482.9873
48,10000,5,5,632.529049
48,10000,6,4,698.861442
48,10000,7,3,904.880566
48,10000,8,2,1031.748145
48,10000,9,1,849.651958
49,10000,1,9,57.132567
49,10000,2,8,178.481956
49,10000,3,7,311.012976
49,10000,4,6,485.055809
49,10000,5,5,631.043668
49,10000,6,4,779.997574
49,10000,7,3,897.243646
49,10000,8,2,1003.857118
49,10000,9,1,1166.962347
