Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
45,10000,2,308.327129
45,10000,4,517.587642
45,10000,6,687.741821
45,10000,8,1024.307538
45,10000,10,1190.369136
46,10000,2,324.67537
46,10000,4,517.004641
46,10000,6,669.584923
46,10000,8,1001.579211
46,10000,10,1148.492622
47,10000,2,316.965459
47,10000,4,507.619305
47,10000,6,693.638214
47,10000,8,995.884785
47,10000,10,1158.848447
48,10000,2,333.334397
48,10000,4,526.832357
48,10000,6,686.158591
48,10000,8,1030.611906
48,10000,10,1150.280869
49,10000,2,292.288821
49,10000,4,529.553931
49,10000,6,712.337058
49,10000,8,1000.341455
49,10000,10,1159.575459
