Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
46,10000,2,247.979788
46,10000,4,414.579122
46,10000,6,439.202606
46,10000,8,571.349284
46,10000,10,611.503332
47,10000,2,315.443576
47,10000,4,427.656
47,10000,6,472.947699
47,10000,8,566.131065
47,10000,10,605.118318
48,10000,2,297.868936
48,10000,4,374.924447
48,10000,6,506.988868
48,10000,8,529.16475
48,10000,10,585.789166
49,10000,2,264.821314
49,10000,4,399.893118
49,10000,6,509.650278
49,10000,8,500.237606
49,10000,10,596.791423
