Iteracion,numAdders,numRemovers,Time (ms)
25,10000,2,8,185.76319
25,10000,3,7,283.840438
25,10000,4,6,406.197007
25,10000,5,5,519.442358
25,10000,6,4,586.869753
25,10000,7,3,709.38119
25,10000,8,2,807.014849
25,10000,9,1,813.8352
26,10000,1,9,58.42597
26,10000,2,8,175.131132
26,10000,3,7,289.822226
26,10000,4,6,408.4192
26,10000,5,5,509.873711
26,10000,6,4,629.450434
26,10000,7,3,726.379823
26,10000,8,2,775.800102
26,10000,9,1,902.890083
27,10000,1,9,59.741761
27,10000,2,8,167.773095
27,10000,3,7,295.756426
27,10000,4,6,400.902388
27,10000,5,5,498.298155
27,10000,6,4,622.869681
27,10000,7,3,718.387704
27,10000,8,2,738.356587
27,10000,9,1,902.45176
28,10000,1,9,59.524231
28,10000,2,8,173.934966
28,10000,3,7,294.825742
28,10000,4,6,408.517007
28,10000,5,5,496.693837
28,10000,6,4,620.103209
28,10000,7,3,729.022009
28,10000,8,2,714.745873
28,10000,9,1,904.293738
29,10000,1,9,57.773529
29,10000,2,8,164.590911
29,10000,3,7,291.968175
29,10000,4,6,395.229227
29,10000,5,5,493.783681
29,10000,6,4,616.79856
29,10000,7,3,738.337823
29,10000,8,2,779.8835
29,10000,9,1,902.91402
30,10000,1,9,57.159792
30,10000,2,8,176.83086
30,10000,3,7,290.700601
30,10000,4,6,398.868261
30,10000,5,5,516.956152
30,10000,6,4,629.735311
30,10000,7,3,687.96677
30,10000,8,2,824.779326
30,10000,9,1,909.901869
31,10000,1,9,70.106633
31,10000,2,8,165.321478
31,10000,3,7,300.882392
31,10000,4,6,392.563206
31,10000,5,5,504.068289
31,10000,6,4,625.991991
31,10000,7,3,672.467299
31,10000,8,2,824.723736
31,10000,9,1,899.639895
32,10000,1,9,60.21081
32,10000,2,8,172.233769
32,10000,3,7,289.410398
32,10000,4,6,390.191472
32,10000,5,5,512.585964
32,10000,6,4,622.789819
32,10000,7,3,665.010919
32,10000,8,2,818.506904
32,10000,9,1,906.202936
33,10000,1,9,58.111724
33,10000,2,8,180.803573
33,10000,3,7,296.405971
33,10000,4,6,394.439039
33,10000,5,5,521.037964
33,10000,6,4,622.332769
33,10000,7,3,705.279773
33,10000,8,2,808.326578
33,10000,9,1,905.577577
34,10000,1,9,59.112054
34,10000,2,8,174.798581
34,10000,3,7,283.434045
34,10000,4,6,396.621678
34,10000,5,5,511.605729
34,10000,6,4,586.85821
34,10000,7,3,724.768877
34,10000,8,2,816.904794
34,10000,9,1,805.697658
35,10000,1,9,60.293097
35,10000,2,8,178.661865
35,10000,3,7,285.045041
35,10000,4,6,404.126374
35,10000,5,5,518.66255
35,10000,6,4,595.724427
35,10000,7,3,721.30857
35,10000,8,2,815.12023
35,10000,9,1,766.501337
36,10000,1,9,57.640889
36,10000,2,8,181.471344
36,10000,3,7,289.234333
36,10000,4,6,401.68034
36,10000,5,5,512.931829
36,10000,6,4,588.089869
36,10000,7,3,724.201942
36,10000,8,2,820.984391
36,10000,9,1,759.622123
37,10000,1,9,60.044972
37,10000,2,8,189.819287
37,10000,3,7,283.949067
37,10000,4,6,410.211185
37,10000,5,5,506.93356
37,10000,6,4,613.588174
37,10000,7,3,714.935324
37,10000,8,2,799.944983
37,10000,9,1,906.036382
38,10000,1,9,60.47563
38,10000,2,8,179.191684
38,10000,3,7,290.537282
38,10000,4,6,407.198439
38,10000,5,5,487.733367
38,10000,6,4,624.056207
38,10000,7,3,727.942605
38,10000,8,2,723.436721
38,10000,9,1,894.030153
39,10000,1,9,58.05049
39,10000,2,8,171.457576
39,10000,3,7,296.934064
39,10000,4,6,403.75969
39,10000,5,5,500.211208
39,10000,6,4,624.008491
39,10000,7,3,720.365252
39,10000,8,2,742.021589
39,10000,9,1,902.176892
40,10000,1,9,59.109423
40,10000,2,8,175.950052
40,10000,3,7,297.04159
40,10000,4,6,416.745597
40,10000,5,5,495.768546
40,10000,6,4,620.932452
40,10000,7,3,722.575874
40,10000,8,2,745.180133
40,10000,9,1,907.397154
41,10000,1,9,57.809785
41,10000,2,8,184.12981
41,10000,3,7,287.218088
41,10000,4,6,398.344008
41,10000,5,5,514.322714
41,10000,6,4,611.057088
41,10000,7,3,691.988494
41,10000,8,2,819.476902
41,10000,9,1,904.744464
42,10000,1,9,66.030343
42,10000,2,8,166.743909
42,10000,3,7,301.313229
42,10000,4,6,396.594397
42,10000,5,5,513.686531
42,10000,6,4,629.710588
42,10000,7,3,662.105597
42,10000,8,2,815.844598
42,10000,9,1,907.324706
43,10000,1,9,58.192942
43,10000,2,8,171.980094
43,10000,3,7,293.443668
43,10000,4,6,390.118207
43,10000,5,5,517.458357
43,10000,6,4,616.595329
43,10000,7,3,678.79799
43,10000,8,2,812.869087
43,10000,9,1,914.000603
44,10000,1,9,57.148348
44,10000,2,8,180.089958
44,10000,3,7,291.166133
44,10000,4,6,400.544737
44,10000,5,5,506.706204
44,10000,6,4,627.112521
44,10000,7,3,676.182073
44,10000,8,2,836.039028
44,10000,9,1,908.243962
45,10000,1,9,56.13236
45,10000,2,8,167.564594
45,10000,3,7,287.591506
45,10000,4,6,409.275242
45,10000,5,5,511.134894
45,10000,6,4,622.2612
45,10000,7,3,715.73333
45,10000,8,2,818.289473
45,10000,9,1,869.072816
46,10000,1,9,57.753536
46,10000,2,8,172.588095
46,10000,3,7,278.359183
46,10000,4,6,408.819279
46,10000,5,5,512.809481
46,10000,6,4,585.991905
46,10000,7,3,736.112061
46,10000,8,2,825.211534
46,10000,9,1,775.146896
47,10000,1,9,58.499303
47,10000,2,8,183.078738
47,10000,3,7,289.206
47,10000,4,6,407.040967
47,10000,5,5,514.29113
47,10000,6,4,597.740292
47,10000,7,3,729.703376
47,10000,8,2,822.745467
47,10000,9,1,719.431089
48,10000,1,9,59.405466
48,10000,2,8,182.260915
48,10000,3,7,277.735601
48,10000,4,6,397.686007
48,10000,5,5,514.622717
48,10000,6,4,601.564715
48,10000,7,3,718.869008
48,10000,8,2,818.110094
48,10000,9,1,802.053755
49,10000,1,9,61.501396
49,10000,2,8,168.604268
49,10000,3,7,292.711289
49,10000,4,6,403.355357
49,10000,5,5,513.231741
49,10000,6,4,618.602079
49,10000,7,3,723.155943
49,10000,8,2,774.552548
49,10000,9,1,905.128725
