Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
46,10000,2,248.153887
46,10000,4,345.763218
46,10000,6,421.051386
46,10000,8,461.193379
46,10000,10,507.545859
47,10000,2,244.524177
47,10000,4,341.979117
47,10000,6,426.914885
47,10000,8,464.677708
47,10000,10,509.166952
48,10000,2,255.983336
48,10000,4,346.070596
48,10000,6,417.845277
48,10000,8,466.88065
48,10000,10,519.886745
49,10000,2,247.397261
49,10000,4,329.966986
49,10000,6,424.690041
49,10000,8,474.238392
49,10000,10,514.644926
