Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
34,96000,16000,6,1492.457068
34,96000,12000,8,1302.990318
34,96000,9600,10,1059.31059
35,96000,48000,2,5371.446593
35,96000,24000,4,2307.710006
35,96000,16000,6,1496.563394
35,96000,12000,8,1339.115778
35,96000,9600,10,1065.579794
36,96000,48000,2,4989.096787
36,96000,24000,4,2570.152842
36,96000,16000,6,1501.641304
36,96000,12000,8,1268.561522
36,96000,9600,10,1075.963232
37,96000,48000,2,5426.534477
37,96000,24000,4,2249.481284
37,96000,16000,6,1491.578119
37,96000,12000,8,1292.071293
37,96000,9600,10,1064.324058
38,96000,48000,2,5767.715212
38,96000,24000,4,2253.736197
38,96000,16000,6,1486.834884
38,96000,12000,8,1317.197301
38,96000,9600,10,1044.11222
39,96000,48000,2,5274.350715
39,96000,24000,4,2474.978324
39,96000,16000,6,1523.226253
39,96000,12000,8,1318.930968
39,96000,9600,10,1050.84184
40,96000,48000,2,5327.095416
40,96000,24000,4,2256.099839
40,96000,16000,6,1479.634396
40,96000,12000,8,1318.481864
40,96000,9600,10,1058.713921
41,96000,48000,2,5283.868878
41,96000,24000,4,2234.232238
41,96000,16000,6,1492.499581
41,96000,12000,8,1347.508279
41,96000,9600,10,1041.73393
42,96000,48000,2,5435.720481
42,96000,24000,4,2245.714281
42,96000,16000,6,1496.576793
42,96000,12000,8,1298.733062
42,96000,9600,10,1051.2062
43,96000,48000,2,5429.75797
43,96000,24000,4,2284.272484
43,96000,16000,6,1501.181533
43,96000,12000,8,1312.279972
43,96000,9600,10,1059.068372
44,96000,48000,2,5421.768982
44,96000,24000,4,2274.126806
44,96000,16000,6,1493.029049
44,96000,12000,8,1300.057307
44,96000,9600,10,1055.232599
45,96000,48000,2,5465.433723
45,96000,24000,4,2258.224094
45,96000,16000,6,1506.21466
45,96000,12000,8,1345.54116
45,96000,9600,10,1035.546043
46,96000,48000,2,5357.025758
46,96000,24000,4,2351.49678
46,96000,16000,6,1508.877723
46,96000,12000,8,1319.916693
46,96000,9600,10,1063.21077
47,96000,48000,2,5411.240389
47,96000,24000,4,2286.67606
47,96000,16000,6,1522.889203
47,96000,12000,8,1326.882127
47,96000,9600,10,1067.264019
48,96000,48000,2,6158.100522
48,96000,24000,4,2230.017036
48,96000,16000,6,1530.263208
48,96000,12000,8,1319.28877
48,96000,9600,10,1048.908926
49,96000,48000,2,5399.170118
49,96000,24000,4,2604.376955
49,96000,16000,6,1485.465364
49,96000,12000,8,1355.219168
49,96000,9600,10,1039.080898
