Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
35,96000,24000,4,2026.210235
35,96000,16000,6,1082.334942
35,96000,12000,8,685.468654
35,96000,9600,10,453.913436
36,96000,48000,2,5288.157399
36,96000,24000,4,2041.343435
36,96000,16000,6,1098.545804
36,96000,12000,8,663.483372
36,96000,9600,10,449.801775
37,96000,48000,2,5618.788884
37,96000,24000,4,1759.690065
37,96000,16000,6,1087.237259
37,96000,12000,8,690.811652
37,96000,9600,10,434.68741
38,96000,48000,2,5610.77222
38,96000,24000,4,2020.851875
38,96000,16000,6,1013.367758
38,96000,12000,8,661.945602
38,96000,9600,10,453.306182
39,96000,48000,2,4715.768291
39,96000,24000,4,2068.004356
39,96000,16000,6,1064.765419
39,96000,12000,8,659.887596
39,96000,9600,10,449.177345
40,96000,48000,2,5819.755385
40,96000,24000,4,2087.11346
40,96000,16000,6,1078.141117
40,96000,12000,8,684.14757
40,96000,9600,10,444.879723
41,96000,48000,2,5243.439842
41,96000,24000,4,2058.10969
41,96000,16000,6,1091.300951
41,96000,12000,8,663.406672
41,96000,9600,10,445.778779
42,96000,48000,2,5787.178922
42,96000,24000,4,1921.617673
42,96000,16000,6,1105.242274
42,96000,12000,8,663.996001
42,96000,9600,10,439.034376
43,96000,48000,2,5827.73881
43,96000,24000,4,2021.608098
43,96000,16000,6,1011.322805
43,96000,12000,8,668.81687
43,96000,9600,10,453.520712
44,96000,48000,2,4635.2023
44,96000,24000,4,2004.522107
44,96000,16000,6,1117.265972
44,96000,12000,8,643.505697
44,96000,9600,10,451.020861
45,96000,48000,2,5642.226426
45,96000,24000,4,1980.666874
45,96000,16000,6,1112.393086
45,96000,12000,8,688.027989
45,96000,9600,10,444.495429
46,96000,48000,2,5331.399333
46,96000,24000,4,2150.313021
46,96000,16000,6,1111.748761
46,96000,12000,8,658.292912
46,96000,9600,10,451.213887
47,96000,48000,2,5592.355185
47,96000,24000,4,1891.609934
47,96000,16000,6,1099.258671
47,96000,12000,8,684.584777
47,96000,9600,10,432.355403
48,96000,48000,2,5768.216669
48,96000,24000,4,2078.874978
48,96000,16000,6,1032.586472
48,96000,12000,8,670.175933
48,96000,9600,10,455.395895
49,96000,48000,2,4687.633429
49,96000,24000,4,2082.099136
49,96000,16000,6,1095.341787
49,96000,12000,8,623.693318
49,96000,9600,10,448.405484
