Iteracion,numAdders,numRemovers,Time (ms)
24,10000,1,9,492.132476
24,10000,2,8,648.479474
24,10000,3,7,838.387702
24,10000,4,6,1034.650744
24,10000,5,5,1192.687791
24,10000,6,4,1349.85429
24,10000,7,3,1539.39831
24,10000,8,2,1640.979649
24,10000,9,1,1754.958966
25,10000,1,9,511.451366
25,10000,2,8,618.192306
25,10000,3,7,855.191864
25,10000,4,6,1017.109007
25,10000,5,5,1208.243963
25,10000,6,4,1376.210867
25,10000,7,3,1503.138501
25,10000,8,2,1650.798034
25,10000,9,1,1797.0006
26,10000,1,9,514.524125
26,10000,2,8,652.34632
26,10000,3,7,838.25937
26,10000,4,6,1020.912799
26,10000,5,5,1199.567503
26,10000,6,4,1319.374766
26,10000,7,3,1513.065712
26,10000,8,2,1657.529694
26,10000,9,1,1800.002407
27,10000,1,9,501.64816
27,10000,2,8,641.311954
27,10000,3,7,827.247724
27,10000,4,6,1027.081321
27,10000,5,5,1207.864168
27,10000,6,4,1377.838398
27,10000,7,3,1530.550255
27,10000,8,2,1643.47083
27,10000,9,1,1767.405381
28,10000,1,9,487.100704
28,10000,2,8,627.584388
28,10000,3,7,854.887533
28,10000,4,6,1035.008102
28,10000,5,5,1197.762743
28,10000,6,4,1377.064375
28,10000,7,3,1518.650876
28,10000,8,2,1648.323598
28,10000,9,1,1800.700695
29,10000,1,9,512.145187
29,10000,2,8,652.033609
29,10000,3,7,840.884747
29,10000,4,6,1034.934528
29,10000,5,5,1185.885232
29,10000,6,4,1350.479156
29,10000,7,3,1498.473544
29,10000,8,2,1676.205254
29,10000,9,1,1795.147373
30,10000,1,9,505.285209
30,10000,2,8,617.864558
30,10000,3,7,829.956769
30,10000,4,6,1027.410914
30,10000,5,5,1211.254397
30,10000,6,4,1365.437424
30,10000,7,3,1515.599506
30,10000,8,2,1650.260981
30,10000,9,1,1841.16477
31,10000,1,9,501.565652
31,10000,2,8,629.993311
31,10000,3,7,844.173898
31,10000,4,6,1025.103954
31,10000,5,5,1203.94239
31,10000,6,4,1368.198506
31,10000,7,3,1509.574043
31,10000,8,2,1661.026805
31,10000,9,1,1792.579385
32,10000,1,9,492.426766
32,10000,2,8,653.522859
32,10000,3,7,860.714356
32,10000,4,6,1024.959159
32,10000,5,5,1206.236258
32,10000,6,4,1350.502849
32,10000,7,3,1511.911041
32,10000,8,2,1631.216427
32,10000,9,1,1779.407205
33,10000,1,9,505.615468
33,10000,2,8,648.082343
33,10000,3,7,857.084749
33,10000,4,6,1037.549689
33,10000,5,5,1199.131708
33,10000,6,4,1359.579427
33,10000,7,3,1516.98109
33,10000,8,2,1629.309168
33,10000,9,1,1783.919754
34,10000,1,9,476.916551
34,10000,2,8,649.818113
34,10000,3,7,838.488556
34,10000,4,6,1046.037594
34,10000,5,5,1182.399391
34,10000,6,4,1361.714299
34,10000,7,3,1521.961705
34,10000,8,2,1662.453392
34,10000,9,1,1776.104779
35,10000,1,9,490.132709
35,10000,2,8,634.097816
35,10000,3,7,838.723038
35,10000,4,6,1046.275264
35,10000,5,5,1199.237623
35,10000,6,4,1367.017503
35,10000,7,3,1509.453513
35,10000,8,2,1666.840377
35,10000,9,1,1771.106059
36,10000,1,9,499.131125
36,10000,2,8,651.326322
36,10000,3,7,845.953306
36,10000,4,6,1043.981049
36,10000,5,5,1193.060796
36,10000,6,4,1364.622357
36,10000,7,3,1523.505701
36,10000,8,2,1651.802911
36,10000,9,1,1797.081991
37,10000,1,9,486.156603
37,10000,2,8,653.418063
37,10000,3,7,858.992705
37,10000,4,6,1027.473957
37,10000,5,5,1228.80231
37,10000,6,4,1355.755086
37,10000,7,3,1500.521884
37,10000,8,2,1655.465035
37,10000,9,1,1780.03046
38,10000,1,9,518.896826
38,10000,2,8,637.236269
38,10000,3,7,835.668941
38,10000,4,6,1029.250014
38,10000,5,5,1208.807595
38,10000,6,4,1359.599394
38,10000,7,3,1501.714219
38,10000,8,2,1650.653381
38,10000,9,1,1808.462577
39,10000,1,9,508.147882
39,10000,2,8,658.435824
39,10000,3,7,826.800923
39,10000,4,6,1037.757228
39,10000,5,5,1206.888741
39,10000,6,4,1372.61464
39,10000,7,3,1536.454971
39,10000,8,2,1648.924769
39,10000,9,1,1767.636202
40,10000,1,9,498.458407
40,10000,2,8,636.827642
40,10000,3,7,838.309682
40,10000,4,6,1042.378465
40,10000,5,5,1203.92138
40,10000,6,4,1365.177358
40,10000,7,3,1483.259409
40,10000,8,2,1627.927431
40,10000,9,1,1771.534577
41,10000,1,9,508.82716
41,10000,2,8,661.029087
41,10000,3,7,856.458237
41,10000,4,6,1050.132216
41,10000,5,5,1189.243113
41,10000,6,4,1354.92651
41,10000,7,3,1504.279912
41,10000,8,2,1688.980607
41,10000,9,1,1778.134147
42,10000,1,9,483.68013
42,10000,2,8,654.733505
42,10000,3,7,845.034349
42,10000,4,6,1056.977471
42,10000,5,5,1191.042909
42,10000,6,4,1368.403736
42,10000,7,3,1526.77783
42,10000,8,2,1642.186502
42,10000,9,1,1772.760517
43,10000,1,9,487.253823
43,10000,2,8,663.577543
43,10000,3,7,844.850243
43,10000,4,6,1016.675384
43,10000,5,5,1213.298328
43,10000,6,4,1361.855351
43,10000,7,3,1496.036196
43,10000,8,2,1654.179587
43,10000,9,1,1954.111079
44,10000,1,9,507.447065
44,10000,2,8,646.3686
44,10000,3,7,836.265962
44,10000,4,6,1030.201055
44,10000,5,5,1209.513249
44,10000,6,4,1385.746776
44,10000,7,3,1500.120628
44,10000,8,2,1709.584604
44,10000,9,1,1789.913443
45,10000,1,9,514.777977
45,10000,2,8,636.077917
45,10000,3,7,853.758787
45,10000,4,6,1031.276977
45,10000,5,5,1201.497738
45,10000,6,4,1359.776362
45,10000,7,3,1514.458295
45,10000,8,2,1649.874231
45,10000,9,1,1847.166768
46,10000,1,9,477.777374
46,10000,2,8,626.174701
46,10000,3,7,845.976994
46,10000,4,6,1018.697371
46,10000,5,5,1213.646756
46,10000,6,4,1369.712456
46,10000,7,3,1507.827742
46,10000,8,2,1671.958415
46,10000,9,1,1807.026265
47,10000,1,9,521.760026
47,10000,2,8,635.556212
47,10000,3,7,855.716325
47,10000,4,6,1030.812603
47,10000,5,5,1215.319765
47,10000,6,4,1341.813279
47,10000,7,3,1510.104211
47,10000,8,2,1656.130303
47,10000,9,1,1774.157425
48,10000,1,9,490.575318
48,10000,2,8,646.948002
48,10000,3,7,845.337024
48,10000,4,6,1040.804065
48,10000,5,5,1206.824715
48,10000,6,4,1366.38497
48,10000,7,3,1535.737762
48,10000,8,2,1634.967277
48,10000,9,1,1880.677601
49,10000,1,9,510.846995
49,10000,2,8,638.906388
49,10000,3,7,863.437229
49,10000,4,6,1033.653855
49,10000,5,5,1201.841224
49,10000,6,4,1370.886876
49,10000,7,3,1499.498881
49,10000,8,2,1673.790741
49,10000,9,1,1787.197504
