Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
35,96000,24000,4,2568.417967
35,96000,16000,6,1306.761572
35,96000,12000,8,783.154086
35,96000,9600,10,530.981175
36,96000,48000,2,6653.577658
36,96000,24000,4,2450.153204
36,96000,16000,6,1197.430345
36,96000,12000,8,846.895749
36,96000,9600,10,529.431123
37,96000,48000,2,5559.22133
37,96000,24000,4,2605.060973
37,96000,16000,6,1370.251694
37,96000,12000,8,770.622143
37,96000,9600,10,534.760783
38,96000,48000,2,6876.556525
38,96000,24000,4,2450.02373
38,96000,16000,6,1203.142155
38,96000,12000,8,831.454667
38,96000,9600,10,538.137272
39,96000,48000,2,5630.56748
39,96000,24000,4,2514.770801
39,96000,16000,6,1329.164926
39,96000,12000,8,765.169656
39,96000,9600,10,537.686214
40,96000,48000,2,6996.908456
40,96000,24000,4,2581.58832
40,96000,16000,6,1169.70927
40,96000,12000,8,813.622221
40,96000,9600,10,523.051153
41,96000,48000,2,5629.545356
41,96000,24000,4,2540.230874
41,96000,16000,6,1366.887309
41,96000,12000,8,772.861235
41,96000,9600,10,525.774758
42,96000,48000,2,6849.598582
42,96000,24000,4,2539.943359
42,96000,16000,6,1165.602615
42,96000,12000,8,825.316144
42,96000,9600,10,528.28636
43,96000,48000,2,5347.169763
43,96000,24000,4,2475.353962
43,96000,16000,6,1362.257817
43,96000,12000,8,770.237793
43,96000,9600,10,539.93892
44,96000,48000,2,6844.042288
44,96000,24000,4,2470.410367
44,96000,16000,6,1174.83741
44,96000,12000,8,819.277743
44,96000,9600,10,533.627308
45,96000,48000,2,5590.412688
45,96000,24000,4,2515.418048
45,96000,16000,6,1352.518614
45,96000,12000,8,762.595599
45,96000,9600,10,525.084178
46,96000,48000,2,7006.976776
46,96000,24000,4,2553.817275
46,96000,16000,6,1154.566524
46,96000,12000,8,826.481536
46,96000,9600,10,525.91105
47,96000,48000,2,5457.911051
47,96000,24000,4,2492.470847
47,96000,16000,6,1360.771475
47,96000,12000,8,800.295591
47,96000,9600,10,532.477331
48,96000,48000,2,6749.571776
48,96000,24000,4,2579.329167
48,96000,16000,6,1184.548488
48,96000,12000,8,823.01822
48,96000,9600,10,527.789933
49,96000,48000,2,5773.812199
49,96000,24000,4,2464.61382
49,96000,16000,6,1321.051709
49,96000,12000,8,790.69001
49,96000,9600,10,534.675116
